"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x966838200156217345","x1346781992738824192",2021-01-06 11:33:43,"AutocratTactics","@Morning_Joe Uh oh, a black and a jew?

The very fine MAGAts, Proud Boys, alt-right, neo-Confederates, neo-fascists &amp; Nazis, white nationalists, Klansmen, right-wing militias &amp; other typical/average Trump voters are going to lose their collective $hit. Watch out decent, civilized people.","Twitter Web App",283,"x1346769216221884417","x254117355","Morning_Joe",FALSE,FALSE,2,1,,,,"hit",,,,,,,,,,,,"x254117355","Morning_Joe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AutocratTactics/status/1346781992738824192","Autocrat Tactics","United States","The aspiring autocrat playbook is playing out right before our eyes. Our institutions & systems are now being used against us. #TrumpLied350000PeopleDied",,FALSE,659,3157,6,10583,1320,2018-02-23 00:52:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/966838200156217345/1553123695",,"http://pbs.twimg.com/profile_images/1108507232373784576/QgrBDoPI_normal.jpg"
"x4865572816","x1346716600133709825",2021-01-06 07:13:52,"afainatl","In the final days of her campaign, Loeffler retweeted Scott Presler &amp; thanked him for his support. 

Presler was the main organizer for 2017's Islamophobic ""March Against Sharia"" which brought together white nationalists, militias, Proud Boys &amp; so on.
https://t.co/tFyB3w6Sjd","Twitter Web App",283,"x1346716595029225473","x4865572816","afainatl",TRUE,FALSE,9,1,,,,,"twitter.com/afainatl/statu…","https://t.co/tFyB3w6Sjd","https://twitter.com/afainatl/status/1345535324290691072",,,,,,,,,,,"en","x1345535324290691072","In the final days of her run for US Senate, Kelly Loeffler is cozying up with another far-Right bigot.

This time, Loeffler is thanking Scott Presler -- the main organizer for 2017's Islamophobic ""March Against Sharia"" -- for his help campaigning in Georgia. #bigotry #gasen https://t.co/XVYgfbcY0x",2021-01-03 00:59:54,"Twitter Web App",194,77,"x4865572816","afainatl","Atlanta Antifascists",20718,803,13648,"Atlanta, GA","",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/afainatl/status/1346716600133709825","Atlanta Antifascists","Atlanta, GA","","https://t.co/7cC4e7SXT3",FALSE,20718,803,197,13648,12121,2016-01-30 23:54:16,FALSE,"https://t.co/7cC4e7SXT3","http://atlantaantifa.org",,"https://pbs.twimg.com/profile_banners/4865572816/1589670544","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1261796533802057728/mS0xRwq4_normal.jpg"
"x984995972186075136","x1346609785672769539",2021-01-06 00:09:26,"LinayaUSA","@realDonaldTrump @DeptofDefense @TheJusticeDept @DHSgov @DHS_Wolf @SecBernhardt @SecretService @FBI Actually no, antifa isn't even an organization. But the Proud Boys and other right-wing armed militias ARE terrorist organizations and they should stay home tomorrow. But they are planning on fighting in the streets tomorrow, so don't engage with them! They are dangerous!","Twitter Web App",272,"x1346583537256976385","x25073877","realDonaldTrump",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x25073877 x66369181 x73181712 x15647676 x1191733036133552128 x821456935421693952 x115749048 x17629860","realDonaldTrump DeptofDefense TheJusticeDept DHSgov DHS_Wolf SecBernhardt SecretService FBI","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LinayaUSA/status/1346609785672769539","Linaya Resister","Georgia, USA","PROUD Liberal Feminist in Georgia. We need to wipe Trumpism off the face of the earth ~ #SocialJustice #ClimateChange #ERA","https://t.co/moSS3iHWRD",FALSE,1581,1864,3,12025,12159,2018-04-14 03:25:14,FALSE,"https://t.co/moSS3iHWRD","https://braveheartgeorgia.com",,"https://pbs.twimg.com/profile_banners/984995972186075136/1605330108","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1205280752490962944/ojGDiiNw_normal.jpg"
"x1079184141600608256","x1346588442017218561",2021-01-05 22:44:37,"wayneAlbert19","@realDonaldTrump @DeptofDefense @TheJusticeDept @DHSgov @DHS_Wolf @SecBernhardt @SecretService @FBI Trump you are the leader of a few terrorist organizations,I will list them for you.
The Proud Boys
The Neo- Nazis
The White Supremacists
The Right Wing Militias
The Kkkk
The Right Wing Vigilantes
All Fascist Groups
Communist Organizations( Putin led)","Twitter for iPad",250,"x1346583537256976385","x25073877","realDonaldTrump",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x25073877 x66369181 x73181712 x15647676 x1191733036133552128 x821456935421693952 x115749048 x17629860","realDonaldTrump DeptofDefense TheJusticeDept DHSgov DHS_Wolf SecBernhardt SecretService FBI","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wayneAlbert19/status/1346588442017218561","wayne Albert","Regina, Saskatchewan","",,FALSE,1,37,0,1796,66,2018-12-30 01:15:24,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x24300924","x1346516097609080834",2021-01-05 17:57:09,"Juakar","From politico :

a growing rebellion inside the GOP conference instigated by Trump, who promises more GOP senators will join the effort and also called for mass protests in D.C. on Wednesday. Proud Boys and right-wing militias will be there, and, yes, there is cause for concern “","Twitter for iPhone",280,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Juakar/status/1346516097609080834","Karin","California, USA","Curious citizen of the world , animal lover and NEVER Trumper - <U+0001F499> we MUST stop the rot !!!! #resist #voteblue2020",,FALSE,7716,7333,8,59959,65748,2009-03-14 01:25:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/24300924/1565749912","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1344683414385958912/N_FDHQt3_normal.jpg"
"x1213718894080249857","x1346320698478788611",2021-01-05 05:00:42,"KRamelmeier","Then maybe you should have respected our democracy and will of 81 million Americans! I don’t remember you condemning all the right wing militias and the Proud Boys. Remember Josh, once a snake always a snake! <U+0001F40D> https://t.co/OYX0OuY5r1","Twitter for iPhone",210,,,,TRUE,FALSE,0,0,,,,,"twitter.com/hawleymo/statu…","https://t.co/OYX0OuY5r1","https://twitter.com/hawleymo/status/1346308783325253633",,,,,,,,,,,"en","x1346308783325253633","Tonight while I was in Missouri, Antifa scumbags came to our place in DC and threatened my wife and newborn daughter, who can’t travel. They screamed threats, vandalized, and tried to pound open our door. Let me be clear: My family &amp; I will not be intimidated by leftwing violence",2021-01-05 04:13:21,"Twitter for iPhone",199707,60339,"x2352629311","HawleyMO","Josh Hawley",537888,970,5091,"Missouri, USA","Constitutional lawyer, husband to Erin, Dad to Elijah, Blaise and Abigail, US Senator from Missouri",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KRamelmeier/status/1346320698478788611","Politics is Everything <U+0001F919><U+0001F41D><U+0001F941>","Hillsborough, CA","Gretchen and Kamala Stan | 17 year old Californian that likes to hike and travel | Biden will be president come January 20 #StillWithHer #VoteBlue <U+0001F499>",,FALSE,443,172,2,6970,99501,2020-01-05 07:08:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/1213718894080249857/1609310731",,"http://pbs.twimg.com/profile_images/1345657624058945537/4SWL37wH_normal.jpg"
"x455326523","x1346214547846279168",2021-01-04 21:58:54,"MaryDixon12","@gbsint @EmeraldRobinson It has more to do with the right wing militias and the proud boys threatening violence. Do you really want to see blood in the streets? Do you really want to see assassinations of political leaders? Because these things have been threatened for tomorrow.","Twitter for Android",254,"x1346174466838175747","x53816053","gbsint",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x53816053 x3932768472","gbsint EmeraldRobinson","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MaryDixon12/status/1346214547846279168","Beautiful Disaster","District 13 ","Wife of a <U+0001F49C> Vet. Mom of a vet, Sick & tired of being sick & tired. Mom, Grandma, fighter for their future!
#ChiariMalformation 
#Resist
Cash app $MaryDixon2019",,FALSE,1767,2413,1,14835,100709,2012-01-05 00:20:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/455326523/1609888713","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1329441245471641608/SBjzqoxH_normal.jpg"
"x847960653369180161","x1346202525058256896",2021-01-04 21:11:07,"oldwisecrone","@KamalaHarris @JoeBiden Yeah because just repeating talk about vaccines,  will definitely stop the sedition and treason currently happening in the US government and it will also stop the proud boys and right wing militias from starting another civil war. #BullshitandSpin #IgnoretheObviousProblem https://t.co/c8MctFCMEA","Twitter for iPhone",272,"x1346169917708640256","x30354991","KamalaHarris",FALSE,FALSE,0,0,,,"BullshitandSpin IgnoretheObviousProblem",,,,,"http://pbs.twimg.com/tweet_video_thumb/Eq6sDyYVkAA3tnX.jpg","https://t.co/c8MctFCMEA","https://twitter.com/oldwisecrone/status/1346202525058256896/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/Eq6sDyYVkAA3tnX.jpg","https://t.co/c8MctFCMEA","https://twitter.com/oldwisecrone/status/1346202525058256896/photo/1",,"x30354991 x939091","KamalaHarris JoeBiden","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/oldwisecrone/status/1346202525058256896","M L Gage","Oregon, USA","I am old, but about the wise part. . . I'm still trying to figure it all out",,FALSE,12,26,0,3176,2048,2017-03-31 23:55:48,FALSE,,,,"https://pbs.twimg.com/profile_banners/847960653369180161/1491005315",,"http://pbs.twimg.com/profile_images/847963681979678720/yz0vCB-2_normal.jpg"
"x408636160","x1345852869845655563",2021-01-03 22:01:43,"runswithwaves","@issuemaverick You’re right. Proud Boys are diverse. You have the klan, Nazis, fascists, he-man woman haters, right wing militias, incels, single white guys w/o wives. Yeah you are diverse.","Twitter for iPhone",174,"x1345756939804758016","x2341500979","issuemaverick",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2341500979","issuemaverick","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/runswithwaves/status/1345852869845655563","runswithwaves","garden state","Joel Osteen gets $4.4 million (tax free) covid relief, pays no taxes. I pay around 20k a year in taxes I get $600 (taxed as income) and you still vote GOP?",,FALSE,1688,3503,96,65691,12361,2011-11-09 17:51:54,FALSE,,,,"https://pbs.twimg.com/profile_banners/408636160/1609975367","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1256772548479631367/VawZgGoH_normal.jpg"
"x20399052","x1345804029604093954",2021-01-03 18:47:39,"vDeadManWalking","@mama4justice @mildbastard @MaryAliceBisho2 @atrupar Just like how they say BLM is a priority threat to America?  Not the Proud Boys or the right-wing militias that have proliferated here since Obama was elected. The Department of Justice cannot be trusted. You do know that?","Twitter Web App",222,"x1345802854058102790","x1267172713787002882","mama4justice",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1267172713787002882 x946400629 x4544016208 x288277167","mama4justice mildbastard MaryAliceBisho2 atrupar","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/vDeadManWalking/status/1345804029604093954","Frank Rice","New Jersey, USA","",,FALSE,102,443,0,6625,2536,2009-02-08 22:45:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/20399052/1591649714","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1333290800915091456/7Oi4bMDu_normal.jpg"
"x1112383443575267329","x1345784784035803136",2021-01-03 17:31:10,"LaGrapnel","The Proud Boys, right-wing militias, white nationalists, and fascists pose an existential threat to the United States, and we need to start treating them like the terrorists &amp; traitors they are.","TweetDeck",198,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LaGrapnel/status/1345784784035803136","LA Grapnel <U+2328><U+FE0F>","Los Angeles, CA","Pro free press. Pro-democracy. Pro-union. Anti-fascist. Black Lives Matter. Popular vote, not electoral college.","https://t.co/fNw53M8KgL",FALSE,106,473,0,3940,278,2019-03-31 15:57:34,FALSE,"https://t.co/fNw53M8KgL","https://www.facebook.com/lagrapnel",,"https://pbs.twimg.com/profile_banners/1112383443575267329/1562692008","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1113824443812306946/LzHn9gzr_normal.png"
"x1112383443575267329","x1345784784035803136",2021-01-03 17:31:10,"LaGrapnel","The Proud Boys, right-wing militias, white nationalists, and fascists pose an existential threat to the United States, and we need to start treating them like the terrorists &amp; traitors they are.","TweetDeck",198,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LaGrapnel/status/1345784784035803136","LA Grapnel <U+2328><U+FE0F>","Los Angeles, CA","Pro free press. Pro-democracy. Pro-union. Anti-fascist. Black Lives Matter. Popular vote, not electoral college.","https://t.co/fNw53M8KgL",FALSE,106,473,0,3940,278,2019-03-31 15:57:34,FALSE,"https://t.co/fNw53M8KgL","https://www.facebook.com/lagrapnel",,"https://pbs.twimg.com/profile_banners/1112383443575267329/1562692008","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1113824443812306946/LzHn9gzr_normal.png"
