"word1","word2","n"
"amp","girl",1
"amp","globalist",1
"amp","gm",1
"amp","god's",1
"amp","goddesses",1
"amp","golan",1
"amp","golf",1
"amp","gopchairwoman",1
"amp","gopmob",1
"amp","gorka",1
"amp","gov't",1
"amp","grab",1
"amp","grace",1
"amp","graham",1
"amp","grandchildren",1
"amp","greed",1
"amp","greeted",1
"amp","grew",1
"amp","groceries",1
"amp","guaranteed",1
"amp","guncontrol",1
"amp","guncontrolnow",1
"amp","guns",1
"amp","gut",1
"amp","half",1
"amp","hamish",1
"amp","hangs",1
"amp","harass",1
"amp","harassers",1
"amp","harder",1
"amp","harmful",1
"amp","harry",1
"amp","harvey",1
"amp","hasbeen",1
"amp","hates",1
"amp","healthcare",1
"amp","heard",1
"amp","heart",1
"amp","hearts",1
"amp","helped",1
"amp","hide",1
"amp","hiding",1
"amp","hilary",1
"amp","hindus",1
"amp","hired",1
"amp","history",1
"amp","hoards",1
"amp","hobbes",1
"amp","hold",1
"amp","holding",1
"amp","holocaust",1
"amp","holy",1
"amp","honesty",1
"amp","hong",1
"amp","honored",1
"amp","honoring",1
"amp","horowitz",1
"amp","hostile",1
"amp","hot",1
"amp","huawei",1
"amp","human",1
"amp","hypothetically",1
"amp","hysterical",1
"amp","i’ll",1
"amp","ice",1
"amp","ignorance",1
"amp","ignores",1
"amp","illegal",1
"amp","illegalaliens",1
"amp","illegals",1
"amp","imho",1
"amp","immanent",1
"amp","immature",1
"amp","impeachment",1
"amp","imprison",1
"amp","improving",1
"amp","imrankhan",1
"amp","inadvertently",1
"amp","incarcerated",1
"amp","incessant",1
"amp","incites",1
"amp","income",1
"amp","incompetence",1
"amp","incompetent",1
"amp","increased",1
"amp","increases",1
"amp","independents",1
"amp","india",1
"amp","indicted",1
"amp","inept",1
"amp","inferiority",1
"amp","inflammatory",1
"amp","influence",1
"amp","infrastructure",1
"amp","ingratiating",1
"amp","inhaling",1
"amp","ins",1
"amp","inslee",1
"amp","inspired",1
"amp","inspiring",1
"amp","instability",1
"amp","insults",1
"amp","intellectual",1
"amp","intern",1
"amp","invoke",1
"amp","iraq",1
"amp","iris",1
"amp","islam",1
"amp","ism",1
"amp","it’ll",1
"amp","ivankatrump",1
"amp","ivanna",1
"amp","jaredkushner",1
"amp","jaredkushner<U+2069>",1
"amp","jeff",1
"amp","jen",1
"amp","jewish",1
"amp","jim",1
"amp","jivin",1
"amp","jokes",1
"amp","judging",1
"amp","justicedems",1
"amp","kag's",1
"amp","kamala",1
"amp","kander",1
"amp","kill",1
"amp","kim",1
"amp","king",1
"amp","klobuchar",1
"amp","knowing",1
"amp","kushner",1
"amp","labor",1
"amp","land",1
"amp","lara",1
"amp","laraleatrump",1
"amp","learn",1
"amp","legalize",1
"amp","legislation",1
"amp","lego",1
"amp","lemon",1
"amp","letting",1
"amp","liberals",1
"amp","lied",1
"amp","lindseygrahamsc",1
"amp","list",1
"amp","loathes",1
"amp","locally",1
"amp","lose",1
"amp","loses",1
"amp","losing",1
"amp","loss",1
"amp","louise",1
"amp","loving",1
"amp","loyal",1
"amp","loyalty",1
"amp","ls",1
"amp","lybotimized",1
"amp","lying",1
"amp","lynchings",1
"amp","maddow",1
"amp","magaots",1
"amp","magats",1
"amp","main",1
"amp","malicious",1
"amp","malliable",1
"amp","manipulating",1
"amp","manipulation",1
"amp","manipulations",1
"amp","marianne",1
"amp","marshall",1
"amp","marynicholsca",1
"amp","mass",1
"amp","massive",1
"amp","mayors",1
"amp","mcconnell",1
"amp","mcconnell's",1
"amp","measured",1
"amp","mediation",1
"amp","medicaid",1
"amp","mental",1
"amp","methodologies",1
"amp","mfg",1
"amp","michael",1
"amp","michigan",1
"amp","mid",1
"amp","milk",1
"amp","millennials",1
"amp","miller",1
"amp","mine",1
"amp","misguided",1
"amp","misinformation",1
"amp","misleading",1
"amp","misled",1
"amp","misogynists",1
"amp","mistresses",1
"amp","mocks",1
"amp","module",1
"amp","monetary",1
"amp","monogamy",1
"amp","monopoly",1
"amp","moral",1
"amp","morality",1
"amp","moscowmitch",1
"amp","move",1
"amp","moved",1
"amp","mre",1
"amp","mt",1
"amp","murdering",1
"amp","narrow",1
"amp","nasty",1
"amp","nationalists",1
"amp","newspapers",1
"amp","nikki",1
"amp","nj",1
"amp","nostalgia",1
"amp","notpaying",1
"amp","november",1
"amp","nuclear",1
"amp","nuts",1
"amp","ny",1
"amp","nyt",1
"amp","obama's",1
"amp","obsessed",1
"amp","obstruction",1
"amp","omitting",1
"amp","onstruction",1
"amp","openly",1
"amp","opinions",1
"amp","oppression",1
"amp","oppressive",1
"amp","orange",1
"amp","oregon",1
"amp","orsted",1
"amp","ousted",1
"amp","outmaneuvered",1
"amp","pacific",1
"amp","paid",1
"amp","pakis",1
"amp","papa",1
"amp","pass",1
"amp","passing",1
"amp","pathetic",1
"amp","patriotic",1
"amp","pc",1
"amp","peddle",1
"amp","pedophiles",1
"amp","pedophilia",1
"amp","penalizing",1
"amp","percentages",1
"amp","pfir",1
"amp","pgtype",1
"amp","pharisees",1
"amp","phone",1
"amp","pillage",1
"amp","pissing",1
"amp","plan",1
"amp","play",1
"amp","plzgeturteethoutofthewaywhenus",1
"amp","pm",1
"amp","podesta",1
"amp","political",1
"amp","politically",1
"amp","pompeo",1
"amp","poor",1
"amp","possibly",1
"amp","post",1
"amp","potus",1
"amp","powell",1
"amp","powers",1
"amp","ppl",1
"amp","praise",1
"amp","pray",1
"amp","pres",1
"amp","presidebt",1
"amp","president",1
"amp","presses",1
"amp","pressley",1
"amp","pretty",1
"amp","priebus",1
"amp","prison",1
"amp","privatized",1
"amp","privilege",1
"amp","procedures",1
"amp","process",1
"amp","proclaiming",1
"amp","production",1
"amp","professor",1
"amp","progress",1
"amp","project",1
"amp","promote",1
"amp","promotion",1
"amp","prosecuting",1
"amp","prostitutes",1
"amp","protecting",1
"amp","protects",1
"amp","protocol",1
"amp","provide",1
"amp","provided",1
"amp","proving",1
"amp","pseudo",1
"amp","psychologists",1
"amp","publicly",1
"amp","puerto",1
"amp","pull",1
"amp","punditry",1
"amp","purchase",1
"amp","puxuan",1
"amp","qe",1
"amp","quantitative",1
"amp","questioned",1
"amp","quietly",1
"amp","quote",1
"amp","racial",1
"amp","raised",1
"amp","random",1
"amp","rants",1
"amp","rational",1
"amp","rcid",1
"amp","realdonaldtrump",1
"amp","refuses",1
"amp","regarded",1
"amp","reichsführer",1
"amp","religion",1
"amp","remove",1
"amp","repdonyoung",1
"amp","reprisal",1
"amp","reps",1
"amp","republican'ts",1
"amp","repubs",1
"amp","repunderwood",1
"amp","requesting",1
"amp","rescue",1
"amp","research",1
"amp","resistance",1
"amp","respect",1
"amp","resurgent",1
"amp","reverses",1
"amp","rewind",1
"amp","riches",1
"amp","ricos",1
"amp","rides",1
"amp","ridiculous",1
"amp","rinos",1
"amp","robe",1
"amp","ron",1
"amp","rosneft",1
"amp","row",1
"amp","rubio",1
"amp","ruhle",1
"amp","ruin",1
"amp","run",1
"amp","running",1
"amp","rural",1
"amp","rush",1
"amp","russia",1
"amp","ruthless",1
"amp","saavy",1
"amp","sacrifice",1
"amp","saddens",1
"amp","sadly",1
"amp","salt",1
"amp","sanders",1
"amp","saner",1
"amp","saracarterdc",1
"amp","save",1
"amp","saving",1
"amp","savior",1
"amp","scapegoating",1
"amp","scary",1
"amp","schizophrenic",1
"amp","screaming",1
"amp","seek",1
"amp","seelbachhotel",1
"amp","senatemajldr",1
"amp","send",1
"amp","sense",1
"amp","serves",1
"amp","set",1
"amp","shadow",1
"amp","shameful",1
"amp","shamelessness",1
"amp","share",1
"amp","sheisty",1
"amp","shocked",1
"amp","short",1
"amp","shown",1
"amp","shutdown",1
"amp","sign",1
"amp","significant",1
"amp","signs",1
"amp","silent",1
"amp","sillyfuckingreligion",1
"amp","similar",1
"amp","sin",1
"amp","slavery",1
"amp","slink",1
"amp","smear",1
"amp","social",1
"amp","socialist",1
"amp","socializing",1
"amp","socially",1
"amp","sodas",1
"amp","solidly",1
"amp","soul",1
"amp","soulless",1
"amp","sound",1
"amp","sparkle",1
"amp","speakerpelosi",1
"amp","speaks",1
"amp","specific",1
"amp","specifically",1
"amp","spend",1
"amp","spending",1
"amp","spent",1
"amp","spineless",1
"amp","st",1
"amp","stain",1
"amp","starr",1
"amp","statewide",1
"amp","steel",1
"amp","steelworkers",1
"amp","stein",1
"amp","stfu",1
"amp","stick",1
"amp","straight",1
"amp","strategic",1
"amp","strips",1
"amp","stronger",1
"amp","studied",1
"amp","suffer",1
"amp","superfluous",1
"amp","superstition",1
"amp","supporter",1
"amp","supports",1
"amp","susan's",1
"amp","susansarandon",1
"amp","swampie",1
"amp","swear",1
"amp","swearherin",1
"amp","swing",1
"amp","tactical",1
"amp","tactically",1
"amp","takeing",1
"amp","taking",1
"amp","talked",1
"amp","targeting",1
"amp","taxcuts",1
"amp","telling",1
"amp","tells",1
"amp","terrain",1
"amp","terrorism",1
"amp","texans",1
"amp","that’s",1
"amp","there’s",1
"amp","thght",1
"amp","threatening",1
"amp","threats",1
"amp","throw",1
"amp","time",1
"amp","tita",1
"amp","toddlers",1
"amp","told",1
"amp","tor",1
"amp","tossed",1
"amp","total",1
"amp","traitors",1
"amp","treasury",1
"amp","trickled",1
"amp","trumpism",1
"amp","trumps",1
"amp","trumpsuckers",1
"amp","trust",1
"amp","tulsi",1
"amp","turds",1
"amp","tweedledumber",1
"amp","tyranny",1
"amp","uk",1
"amp","unable",1
"amp","unbiased",1
"amp","uncle",1
"amp","understand",1
"amp","undocumented",1
"amp","uneducated",1
"amp","unforgivable",1
"amp","unite",1
"amp","unlimited",1
"amp","unresponsive",1
"amp","unrestricted",1
"amp","unsurprised",1
"amp","uphold",1
"amp","urban",1
"amp","urged",1
"amp","usamerica",1
"amp","values",1
"amp","vegas",1
"amp","verse",1
"amp","veterans",1
"amp","vietnam",1
"amp","villainy",1
"amp","vision",1
"amp","vlad",1
"amp","vlady",1
"amp","voice",1
"amp","votes",1
"amp","wait",1
"amp","wal",1
"amp","wall",1
"amp","walmart",1
"amp","war",1
"amp","warn",1
"amp","wasn’t",1
"amp","watch",1
"amp","watched",1
"amp","wayne",1
"amp","wds",1
"amp","we’re",1
"amp","welcomed",1
"amp","welcoming",1
"amp","welfare",1
"amp","what’s",1
"amp","whiners",1
"amp","whitney",1
"amp","wi",1
"amp","wicked",1
"amp","wildlife",1
"amp","willingness",1
"amp","willthis",1
"amp","win2020",1
"amp","wins",1
"amp","woman",1
"amp","wouldn’t",1
"amp","wrote",1
"amp","wtp",1
"amp","wtp's",1
"amp","xenophobic",1
"amp","you’ll",1
"ample","bosom",1
"ample","evidence",1
"amplification","helped",1
"amplified","gop",1
"amplified","qanon",1
"amplifier2rf","marilynlavala",1
"amplify","democratic",1
"amplify","dems",1
"amprog","donations",1
"amraging","namidthehung",1
"amsterdam","trump",1
"amur","leopard",1
"amused","apoplectic",1
"amused","donald",1
"amused","posting",1
"amused","telling",1
"amused","trump",1
"amusedrice","trumpstudents",1
"amusement","parks",1
"amusic5150","davidwohl",1
"amustsee","news",1
"amvets","i’m",1
"amvetsupport","i’ll",1
"amvetsupport","pr",1
"amvetsupport","pretty",1
"amvetsupport","remember",1
"amvetsupport","tbh",1
"amy","alright",1
"amy","carter",1
"amy","democrat",1
"amy_siskind","b52malmet",1
"amy_siskind","msnbc",1
"amy_siskind","realdonaldtrump",1
"amy_siskind","samicuda",1
"amyklobuchar","edbott",1
"amyklobuchar","kamalaharris",1
"amyklobuchar","nadelparis",1
"amyklobuchar","outlaw_daisy",1
"amyklobuchar","princessmom122",1
"amyklobuchar","sounds",1
"amyklobuchar","uh",1
"amyklobuchar","uhm",1
"amymcgrathky","staceyabrams",1
"amymek","american",1
"amyremeikis","danish",1
"amytisd1","arpanda70320582",1
"amzn","msft",1
"an0nakn0wledge","youranonnews",1
"ana","civic",1
"ana","shut",1
"ana","super",1
"anachronismfer1","thequartering",1
"anachronistic","electoral",1
"anakasparian","emmavigeland",1
"anakasparian","neeratanden",1
"anakasparian","yeah",1
"anal","fischer",1
"anal","glands",1
"anally","embrace",1
"analogy","coming",1
"analogy","compares",1
"analogy","donald",1
"analogy","para",1
"analysis","auspol",1
"analysis","bad",1
"analysis","davidfrum",1
"analysis","lakotaman1",1
"analysis","neeratanden",1
"analysis","realdonaldtrump",1
"analysis","true",1
"analysis","trump’s",1
"analyst","comparing",1
"analyst","jeffrey",1
"analyze","trump",1
"ananavarro","amen",1
"ananavarro","chrislhayes",1
"ananavarro","dude",1
"ananavarro","news",1
"ananavarro","president",1
"ananavarro","realdonaldtrump",1
"ananavarro","solutioneer72",1
"anarchess","shossy2",1
"anarchists","msignorile",1
"anarcho_ugly","benburgis",1
"anasoptora3","ariame13",1
"anastasianylon","indianimmigran1",1
"ancap","standards",1
"ancaps","incels",1
"ancestors","gopchairwoman",1
"ancestors","lastword",1
"ancestors","real",1
"ancestors","suffered",1
"ancestry","citizenship",1
"ancestry","dot",1
"anches","660mary",1
"anchor","100",1
"anchor","accuses",1
"anchor","babies",1
"anchor","bret",1
"anchor","nope",1
"anchor","shannon",1
"anchors","hate",1
"anchors","support",1
"anchorsewer","potus",1
"ancient","amp",1
"ancient","blind",1
"ancient","forests",1
"ancient","mo",1
"ancient","text",1
"andand","charged",1
"anders_aslund","lotsofuss",1
"anders_aslund","robert2909",1
"anders609","abc",1
"andersen","connection",1
"andersgravy","l000l",1
"anderson","coopers",1
"anderson","saging",1
"andersoncooper","donlemon",1
"andersoncooper","fairfightaction",1
"andersoncooper","hardballchris",1
"andersoncooper","it’s",1
"andersoncooper","jaketapper",1
"andersoncooper","president",1
"andersoncooper","wow",1
"andersontoone","puffdomino",1
"andevers","denmark",1
"andi___m","kz_howell",1
"andnowiwrite","ninaturner",1
"andnowiwrite","notcapnamerica",1
"andreaproell","neeratanden",1
"andrear9md","physicianwomen",1
"andreas","fault",1
"andretort","tribalvibeleath",1
"andrew","andrewyang",1
"andrew","breitbart",1
"andrew","brunson",1
"andrew","he’s",1
"andrew","johnson",1
"andrew","katie",1
"andrew","prokop",1
"andrew","scheer",1
"andrew","started",1
"andrew","sullivan",1
"andrewalanjames","zerlinamaxwell",1
"andrewbgreene","political_alert",1
"andrewbrodie331","scaramucci",1
"andrewcmccarthy","bradheath",1
"andrewcryer1","susansarandon",1
"andrewhumes3","lol",1
"andrewhwaller","bingo",1
"andrewklavan","greggutfeld",1
"andrewklavan","mknov2016",1
"andrewm19044203","grgpetro",1
"andrewmccarthy","counterintelligenceinvestigations",1
"andrewpalmrn","patrickhmadden",1
"andrewpollackfl","billdeblasio",1
"andrewpollackfl","pismo_b",1
"andrewpollackfl","realdonaldtrump",1
"andrewrchapman","squirrely99",1
"andrewscheer","scheer",1
"andrewsdisciple","danrather",1
"andrewsolender","claytonchuqifan",1
"andrewsolender","tweet",1
"andrewtrivette","bjcreigh",1
"andrewyacko","pattirod55",1
"andrewyang","andrew",1
"andrewyang","andrewyang",1
"andrewyang","bernie",1
"andrewyang","careful",1
"andrewyang","delslemonade",1
"andrewyang","dgsalem09",1
"andrewyang","freedomdividend",1
"andrewyang","gotcha",1
"andrewyang","hey",1
"andrewyang","humanityfirst",1
"andrewyang","i’ve",1
"andrewyang","jonathanlwai",1
"andrewyang","poll",1
"andrewyang","votes",1
"andrewyang","warren",1
"andrewyang","yeah",1
"andrewyang202","andrewyang",1
"andrewyangfanp1","andrewyang",1
"andrewzimmern","don’t",1
"andrewzimmern","i’ve",1
"andriawrose","repadamschiff",1
"android","quote",1
"andthatsfuckingdumb","cuomoprimetime",1
"andthereby","violate",1
"andvzmrcico","paid",1
"andy","doxing",1
"andy","horowitz",1
"andy","taylor",1
"andy","trump",1
"andy","warhol",1
"andy_2124","26drdeath",1
"andybiggsaz","debbielesko",1
"andyburkart92","cnn",1
"andyelf","ricktherunner",1
"andyjr38298090","8brianvogel4",1
"andyjr38298090","molfesew",1
"andykaruza","abcpolitics",1
"andylassner","dear",1
"andylassner","foxnews",1
"andylassner","globalnewsth",1
"andylassner","i’m",1
"andylassner","lack",1
"andylassner","trump",1
"andylevy","bendreyfuss",1
"andyosborg","humanrtsv",1
"andyostroy","roarquette",1
"andyoz2","it’s",1
"andypadrutt","back_dafucup",1
"andypadrutt","nicoxw1",1
"andyrichter","trump’s",1
"anerican","life",1
"anetworker5","youtube",1
"ange_amene","ninaturner",1
"ange_amene","stellaaaa",1
"angel","compared",1
"angel","dbongino",1
"angel","moms",1
"angel","plan",1
"angel","sighed",1
"angel_star39","garbear4trump",1
"angela","davis",1
"angela3281965","nbcnews",1
"angelabelcamino","trump",1
"angeladouble07","tony_leichtweis",1
"angelahanyak","redistrict",1
"angeles","love",1
"angelgotti5","ericholder",1
"angelgotti5","kevinbooker212",1
"angelgotti5","nypost",1
"angelgsdlover","logcabingop",1
"angelhasfallen","switch",1
"angelic","hair",1
"angelicvh","wrong",1
"angellight21","oneunderscore__",1
"angelray322","dannajackson13",1
"angelwithoutaha","trump",1
"anger","amp",1
"anger","racism",1
"anger","rarely",1
"anger","resentment",1
"angevin1170","lizardgramps",1
"angie's","list",1
"angieblackburn","realdonaldtrump",1
"angieblackburn","ronhill1999hill",1
"angiedi57843543","phucccumean",1
"angle","8",1
"angle","soft",1
"angles","effiedog",1
"angles","jacopo_della_q",1
"anglo","2",1
"anglo","saxons",1
"angrier","trump",1
"angrierwhstaff","god",1
"angrierwhstaff","it’s",1
"angrierwhstaff","sparky_tini",1
"angrierwhstaff","thismycunt",1
"angrierwhstaff","trump",1
"angrily","cancelled",1
"angry","appalled",1
"angry","denmark",1
"angry","depressed",1
"angry","donald",1
"angry","empathic",1
"angry","farmers",1
"angry","ford",1
"angry","iran",1
"angry","mob",1
"angry","president",1
"angry","rambling",1
"angry","reactions",1
"angry","that’s",1
"angry","toddler",1
"angry","trump",1
"angry","uncles",1
"angry","uneducated",1
"angry","vladimir",1
"angry","what’s",1
"angry","white",1
"angryandasian","56blackcat",1
"angryandasian","aka",1
"angryduckmom","trump’s",1
"angryluca","davidafrench",1
"angryzoomer","blasianmimi",1
"anguilla","pres",1
"anguish","unity",1
"angustia84","bostonglobe",1
"ani","donald",1
"ani","narendramodi",1
"ani","realdonaldtrump",1
"ani","semitic",1
"ani_digital","ani",1
"anilakhawaja","fawadchaudhry",1
"anilakhawaja","ptiofficial",1
"animal","advocates",1
"animal","answers",1
"animal","character",1
"animal","cruelty",1
"animal","killer",1
"animal","lathareddy704",1
"animal","product",1
"animal","rescue",1
"animal","rights",1
"animal","trump",1
"animal","vegetable",1
"animal","welfare",1
"animal_lover365","olivermcgee",1
"animals","amp",1
"animals","hate",1
"animals","here’s",1
"animals","minding",1
"animals","plants",1
"animals","sadieinprogress",1
"animals","thesr",1
"animals","trump",1
"animates","violence",1
"anime","depictions",1
"anime","twt",1
"animenihilist","winklevosss",1
"anindita_guha","sanjayuvacha",1
"anitam86","neeratanden",1
"aniwa","wi",1
"anjanaomkashyap","indiatvnews",1
"anjanaomkashyap","sardanarohit",1
"ank3r10","sternshow",1
"ankle","stizmaster",1
"ankles","obama",1
"ankles","rockprincess818",1
"ankletwisted","i’m",1
"ann","arbor",1
"ann","conway",1
"ann","frank",1
"ann","telnaes",1
"ann2do","danscavino",1
"anna","immfamtogether",1
"anna","maga",1
"annabella313","11thhour",1
"annaesanders","billdeblasio",1
"annag3713","benshapiro",1
"annannche","ninaturner",1
"anncoulter","anntensity",1
"anncoulter","compliment",1
"anncoulter","dcexaminer",1
"anncoulter","donaldjtrumpjr",1
"anncoulter","eric",1
"anncoulter","erictrump",1
"anncoulter","tpostmillennial",1
"anncoulter","trump",1
"anncoulter","tuckercarlson",1
"anncoulter","typical",1
"anne","hate",1
"anne","sign",1
"anne_marchant","adenabelikov",1
"anne_stephen5","b_sullivan704",1
"anneapplebaum","britain",1
"annects","greenland",1
"annel5694","trump",1
"annendil","i’ve",1
"annex","amp",1
"annex","counties",1
"annex","mar",1
"annex","territory",1
"annexation","happened",1
"annexed","crimea",1
"annexed","ukraine",1
"annexing","poland",1
"anniefreyshow","coquitalkstrash",1
"anniegabstonh","i’ll",1
"anniegabstonh","trump",1
"anniekarni","breaking",1
"anniekarni","chrismegerian",1
"anniekarni","courageous",1
"anniekarni","drjengunter",1
"anniekarni","hahaha",1
"anniekarni","juliehdavis",1
"anniekarni","maggienyt",1
"anniekarni","nothin",1
"anniekarni","nyt",1
"anniekarni","trump’s",1
"anniekarni","wh",1
"anniekarni","whaahh",1
"anniekarni","yup",1
"anniekeil1","bearrawks",1
"anniekeil1","clovis1931",1
"annihiiation","uh",1
"annihilate","human",1
"annihilated","isis",1
"anniversary","gift",1
"annlaabs","malcolmnance",1
"annmarie3589","rsbnetwork",1
"annointed","prophet",1
"announce","currency",1
"announce","impeachment",1
"announce","tomorrow",1
"announce","trump",1
"announced","1500",1
"announced","jerusalem",1
"announced","layoffs",1
"announced","occasion",1
"announced","rally",1
"announced","run",1
"announced","tuesday",1
"announced","universal",1
"announcer","bein",1
"announces","countdown",1
"announces","dbongino",1
"announces","judicial",1
"announcing","version",1
"annoy","russia",1
"annoy","trump",1
"annoy","upset",1
"annoyed","frequent",1
"annoyedcyclist","jack_burkman",1
"annoying","brightstrangely",1
"annoying","patrici15767099",1
"annoying","realdonaldtrump",1
"annoying","trump",1
"annperk83060393","trump_warrior20",1
"anntkag2020","revkeithbritt",1
"annual","biofuel",1
"annual","briefing",1
"annual","budget",1
"annual","convention",1
"annual","corn",1
"annual","cost",1
"annual","gdp",1
"annual","golf",1
"annual","growth",1
"annual","inflation",1
"annual","maintenance",1
"annual","multiple",1
"annual","raises",1
"annual","salary",1
"annual","subsidy",1
"annual","summit",1
"annvandersteel","paul_serran",1
"annvandersteel","stop",1
"anoldguy3","chriswilson6203",1
"anomalies","statistically",1
"anomaly","fuck",1
"anon","cheetus",1
"anon","ppl",1
"anon_ravn","bigd_plorable",1
"anonaime","electroboyusa",1
"anonmonkeyman1","samwisemd",1
"anonp","kristyswansonxo",1
"anonymous","insiders",1
"anonymous","op",1
"anonymous","trump",1
"anonymous_78","sloyoroll01973",1
"anonymousceleb8","add",1
"anonymously","texted",1
"anotherlyingidiotnamedtrump","trump",1
"anotherpointlesshashtag","maga",1
"anothertrumpfailure","trump",1
"anout","red",1
"anpanbts13","trump",1
"anphonyboloney","nyambol",1
"anradila17","jessica42389899",1
"ansgartodinson","dukebonanza",1
"answer","baby",1
"answer","deanznotes",1
"answer","farmers",1
"answer","forget",1
"answer","listened",1
"answer","news",1
"answer","nsa",1
"answer","pak",1
"answer","q’s",1
"answer","questions",1
"answer","totally",1
"answer","trump's",1
"answer","trump’s",1
"answer","watch",1
"answer","wrong",1
"answered","question",1
"answers","chinese",1
"answers","mike",1
"answers","prime",1
"ant","anti",1
"ant","semite",1
"ant","semitic",1
"ant","semitism",1
"ant_f3ltz","katzz77",1
"antd","trump",1
"antebellum","dust",1
"antebellum","vibe",1
"antelava","umlandandreas",1
"anthem","recycleddoom",1
"anthem","reuploaded",1
"anthemrespect","genflynn",1
"anthony","caught",1
"anthony","scaramucchi",1
"anthony","scared",1
"anthony","scarrmuchi",1
"anthony","weiner",1
"anthony_htims","andrewbgreene",1
"anthonycumiacpm","ant",1
"anthonycumiacpm","collection",1
"anthonycumiacpm","remember",1
"anthonycumiacpm","that’s",1
"anthonypedicini","nikkifried",1
"anthonyscaramucci","china",1
"anthonyscaramucci","pauldgross",1
"anthropomorphic","climate",1
"anti","2nd",1
"anti","abortion",1
"anti","aids",1
"anti","american’s",1
"anti","americans.there",1
"anti","asian",1
"anti","bds",1
"anti","bernie",1
"anti","black",1
"anti","brown",1
"anti","bullying",1
"anti","catholic",1
"anti","catholicism",1
"anti","cheating",1
"anti","chinese",1
"anti","christ’s",1
"anti","climate",1
"anti","clinton",1
"anti","conservative",1
"anti","constitution",1
"anti","corruption",1
"anti","democrat",1
"anti","democratic",1
"anti","denmark",1
"anti","due",1
"anti","elite",1
"anti","fa",1
"anti","fixing",1
"anti","gop",1
"anti","gop.women.need",1
"anti","gunners",1
"anti","hindu",1
"anti","hollywood",1
"anti","ice",1
"anti","imigration",1
"anti","immigration",1
"anti","incumbent",1
"anti","indian",1
"anti","intellectualism",1
"anti","interventionist",1
"anti","iran",1
"anti","journalist",1
"anti","krasner",1
"anti","lbgtq",1
"anti","letting",1
"anti","logic",1
"anti","lying",1
"anti","maga",1
"anti","mickey",1
"anti","nafta",1
"anti","nation",1
"anti","national",1
"anti","nationalism",1
"anti","netanyahu",1
"anti","orangutans",1
"anti","palestine",1
"anti","patriotic",1
"anti","pc",1
"anti","pedefilia",1
"anti","personal",1
"anti","police",1
"anti","policy",1
"anti","poor",1
"anti","racism",1
"anti","reality",1
"anti","redhead",1
"anti","republican",1
"anti","russian",1
"anti","salad",1
"anti","sametic",1
"anti","science",1
"anti","semantic",1
"anti","semantics",1
"anti","semetoc",1
"anti","semis",1
"anti","semitic.he",1
"anti","semiticism",1
"anti","semitiic",1
"anti","semtism",1
"anti","sexual",1
"anti","socialism",1
"anti","squad",1
"anti","statue",1
"anti","steven",1
"anti","traitorist",1
"anti","trumper's",1
"anti","union",1
"anti","usa",1
"anti","vaccines",1
"anti","vax",1
"anti","vaxx",1
"anti","women",1
"anti","zionism",1
"antiamerica","pureevilhate",1
"antiamerican","amp",1
"antiamerican","lying",1
"antiamerican","trump",1
"antichinazi","mitchellvii",1
"antichrist","magog",1
"antichrist","unknownsoldier",1
"anticipated","muellershewrote",1
"anticipated","trump",1
"anticommunism","acupoker",1
"anticommunist","sentiments",1
"antics","emanating",1
"antics","grow",1
"antics","provide",1
"antidcswampmaga","ilhanmn",1
"antidote","prez",1
"antiealb","hongkongprotesters",1
"antielab","antielabhk",1
"antielab","coreybking",1
"antielabhk","antiealb",1
"antielabhk","chinazism",1
"antiextraditionbill","hongkongprotests",1
"antifa","amp",1
"antifa","antifa",1
"antifa","attacked",1
"antifa","beat",1
"antifa","blm",1
"antifa","brown",1
"antifa","caused",1
"antifa","experts",1
"antifa","fund",1
"antifa","fundraisers",1
"antifa","gtconway3d",1
"antifa","idiots",1
"antifa","lol",1
"antifa","manhattan",1
"antifa","meeting",1
"antifa","movement",1
"antifa","people",1
"antifa","portland",1
"antifa","protects",1
"antifa","protestors",1
"antifa","robreiner",1
"antifa","stands",1
"antifa","terrorists",1
"antifa","writeriowa",1
"antifa","you’re",1
"antifa","zealots",1
"antifa","zoomerclips",1
"antifa’s","public",1
"antifamilkshake","jeffadesanya",1
"antifaterrorists","hategroup",1
"antifaterrorists","unmask",1
"antifaterrorists","yoooo",1
"antigone","drjengunter",1
"antigopmvmt","trump",1
"antihero_kate","completely",1
"antihero_kate","people",1
"antiisrael","rhetoric",1
"antimarxist","anticommunism",1
"antira","elliot1956",1
"antisemetic","babble",1
"antisemetic","ilhan",1
"antisemetic","liar",1
"antisemite","couldn’t",1
"antisemite","democrats",1
"antisemite","donald",1
"antisemite","period",1
"antisemite","racistinchief",1
"antisemite","that’s",1
"antisemite","trump",1
"antisemiteinchief","devincow",1
"antisemiteinchief","trump",1
"antisemites","austincorona1",1
"antisemites","blacks",1
"antisemites","real",1
"antisemites","trump",1
"antisemitic","ah",1
"antisemitic","amp",1
"antisemitic","antisemitism",1
"antisemitic","bigot",1
"antisemitic","brunoamato_1",1
"antisemitic","burrs",1
"antisemitic","caricatures",1
"antisemitic","christian",1
"antisemitic","church",1
"antisemitic","cissyvoo",1
"antisemitic","dog",1
"antisemitic","dual",1
"antisemitic","fascist",1
"antisemitic","fools",1
"antisemitic","garbage",1
"antisemitic","hate",1
"antisemitic","images",1
"antisemitic","islamophobic",1
"antisemitic","jewish",1
"antisemitic","lengths",1
"antisemitic","lol",1
